Title,Company_name,Career_Level,Job_type,Location,Published,Link
Senior Software Tester,Bee Smart Payment Solutions ,Manager,Full Time,"Maadi, Cairo, Egypt ",1 month ,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Internal Auditor,Monginis Food Industries & Services ,Manager,Full Time,"Abu Rawash, Giza, Egypt ",2 months ,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Registrar Coordinator,ESLSCA University ,Manager,Full Time,"Giza, Egypt ",2 months ,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
SME Manager - Loans,e Aswaaq Misr ,Manager,Full Time,"Smart Village, Giza, Egypt ",1 month ,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Marketing Specialist,Confidential ,Manager,Full Time,"Haram, Giza, Egypt ",2 months ,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Market Researcher,Infotech ,Experienced,Full Time,"Nasr City, Cairo, Egypt ",2 months ,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Software Tester | Banking,Expleo ,Experienced,Full Time,"Maadi, Cairo, Egypt ",2 months ,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
QA Software Testing,Expleo ,Experienced,Full Time,"Maadi, Cairo, Egypt ",2 months ,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Senior Graphic Designer,TRAVCO GROUP ,Experienced,Full Time,"Sheikh Zayed, Giza, Egypt ",,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Supplier Connectivity & Optimization Specialist,WebBeds ,Experienced,Full Time,"Nasr City, Cairo, Egypt ",,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Accounting Supervisor,ExCraft Group ,Experienced,Full Time,"Sheraton, Cairo, Egypt ",,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Senior Database Developer,Ejada  ,Experienced,Full Time,"Cairo, Egypt ",,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Senior Internal Auditor,AlGammal Contracting ,Experienced,Full Time,"Katameya, Cairo, Egypt ",,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Sales Support Administrator,Aman ,Experienced,Full Time,"Maadi, Cairo, Egypt ",,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Managing Director Assistant,Kasrawy Group ,Experienced,Full Time,"Abu Rawash, Giza, Egypt ",,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
FP&A Assistant Manager,Giza Seeds and Herbs ,Experienced,Full Time,"6th of October, Giza, Egypt ",,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Market Research Specialist,E3mel Business for Financial & Managerial Consultancy ,Experienced,Full Time,"Maadi, Cairo, Egypt ",,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Head OF IT,Ahram Security Group ,Experienced,Full Time,"10th of Ramadan City, Sharqia, Egypt ",,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Core Banking Solution Support,Confidential ,Experienced,Full Time,"Nasr City, Cairo, Egypt ",,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Lead C++ Developer [R&D Unit],FlairsTech ,Experienced,Full Time,"Maadi, Cairo, Egypt ",,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Senior C++ Developer [R&D Unit],FlairsTech ,Experienced,Full Time,"Maadi, Cairo, Egypt ",,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Full Stack Team Lead,3S Software ,Experienced,Full Time,"Nasr City, Cairo, Egypt ",,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
MIS / BI Specialist,Raya Customer Experience ,Experienced,Full Time,"6th of October, Giza, Egypt ",,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Regional Account Relationship Team lead,Fawry for Banking Technology and Electronic Payments S.A.E ,Experienced,Full Time,"6th of October, Giza, Egypt ",,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Application Support Specialist,Al Ahly Medical Company ,Experienced,Full Time,"Giza, Giza, Egypt ",,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Full Stack Developer,3S Software ,Experienced,Full Time,"Nasr City, Cairo, Egypt ",,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Junior Pricing Specialist,KYAN marketing solutions ,Experienced,Full Time,"New Nozha, Cairo, Egypt ",,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Senior Internal Auditor,Confidential ,Experienced,Full Time,"10th of Ramadan City, Cairo, Egypt ",,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Financial Planning And Analysis Senior Manager,Confidential ,Experienced,Full Time,"Maadi, Cairo, Egypt ",,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Marketing Researcher - Alexandria,Lecico Egypt ,Experienced,Full Time,"Alexandria, Egypt ",,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Software Quality Assurance Specialist,Jumia ,Experienced,Full Time,"Cairo, Egypt ",,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
HRIS Specialist,Carina Wear ,Experienced,Full Time,"New Cairo, Cairo, Egypt ",,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Media Buyer,Happy Vision ,Experienced,Full Time,"Mohandessin, Giza, Egypt ",,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Power BI Developer,Systems Limited ,Experienced,Full Time,"6th of October, Giza, Egypt ",,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Financial Planning & Analysis Section Head,Nahdet Misr Publishing Group ,Experienced,Full Time,"Mohandessin, Giza, Egypt ",,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
